,dt,channel,username,message,neg,neu,pos,compound
1814,2021-05-01 18:58:53,doublelift,spartaman64,f,0.0,1.0,0.0,0.0
1815,2021-05-01 18:58:54,doublelift,cabstero,KEKW,0.0,1.0,0.0,0.0
1816,2021-05-01 18:58:54,doublelift,mmarkedupp,"guys cant see, cant see",0.0,1.0,0.0,0.0
1817,2021-05-01 18:58:55,doublelift,sepevo,Pog,0.0,0.0,1.0,0.25
1818,2021-05-01 18:58:57,doublelift,yuyuyuna,KEKW,0.0,1.0,0.0,0.0
1819,2021-05-01 18:58:57,doublelift,razzakksa,Number 2 in NA LUL,0.0,0.755,0.245,0.0772
1820,2021-05-01 18:58:57,doublelift,adimininastr0,Sadge Sadge,1.0,0.0,0.0,-0.4588
1821,2021-05-01 18:58:58,doublelift,indogingigi,KEKW,0.0,1.0,0.0,0.0
1822,2021-05-01 18:59:00,doublelift,hazyfrizz,?????????,0.0,1.0,0.0,0.0
1823,2021-05-01 18:59:00,doublelift,rajanda,POGGERS,0.0,0.0,1.0,0.25
1824,2021-05-01 18:59:01,doublelift,adaptmfer,KEKW,0.0,1.0,0.0,0.0
1825,2021-05-01 18:59:03,doublelift,mystermato,worth,0.0,0.0,1.0,0.2263
1826,2021-05-01 18:59:04,doublelift,thino036,you just killed yourself,0.6,0.4,0.0,-0.6705
1827,2021-05-01 18:59:04,doublelift,hd_jank,blitz syndrome,0.0,1.0,0.0,0.0
1828,2021-05-01 18:59:04,doublelift,gato_voador,Sadge,1.0,0.0,0.0,-0.25
1829,2021-05-01 18:59:05,doublelift,daltonwells,why was sej waiting there though,0.0,1.0,0.0,0.0
1830,2021-05-01 18:59:05,doublelift,penguin_cs,sej still has ulti after a team fight lul,0.245,0.755,0.0,-0.3818
1831,2021-05-01 18:59:05,doublelift,dwg_shoemaker,KEKW,0.0,1.0,0.0,0.0
1832,2021-05-01 18:59:06,doublelift,shzhnuh,running it down you say,0.0,1.0,0.0,0.0
1833,2021-05-01 18:59:06,doublelift,rozkie,ahri  lets go,0.0,1.0,0.0,0.0
1834,2021-05-01 18:59:11,doublelift,hugh_lovett,worth,0.0,0.0,1.0,0.2263
1835,2021-05-01 18:59:12,doublelift,thegamingorange,to display skill,0.0,1.0,0.0,0.0
1836,2021-05-01 18:59:12,doublelift,import_antigrvty,@Orgasmal I wouldn't hold your breath lol,0.0,0.682,0.318,0.4215
1837,2021-05-01 18:59:13,doublelift,mu55room,|the tactical cosplay,0.0,1.0,0.0,0.0
1838,2021-05-01 18:59:13,doublelift :staying true to your region,lukas_112358,D,0.0,1.0,0.0,0.0
1839,2021-05-01 18:59:14,doublelift,cosmlcon,i think you were trying to kill jhin,0.402,0.598,0.0,-0.6908
1840,2021-05-01 18:59:17,doublelift,pvt_davids,seq1 For Content,0.0,1.0,0.0,0.0
1841,2021-05-01 18:59:18,doublelift,fischlord,ForFun play,0.0,0.294,0.706,0.34
1842,2021-05-01 18:59:19,doublelift,adaptmfer,monkaW,1.0,0.0,0.0,-0.25
1843,2021-05-01 18:59:27,doublelift,avarosa0,what do you think about rushing PD on adcs like ashe and kog ?,0.0,0.839,0.161,0.3612
1844,2021-05-01 18:59:27,doublelift,rozkie,jhin cena,0.0,1.0,0.0,0.0
