id,dt,channel,username,message,neg,neu,pos,compound
250,5/1/2021 17:54,doublelift,paul_the_iii,"@izkuroi yeah i figured it was a no-go with 0 crit on it lol, ty",0,0.612,0.388,0.765
251,5/1/2021 17:54,doublelift,adaptmfer,the best players know how to crit on demand,0.118,0.551,0.331,0.5719
252,5/1/2021 17:54,doublelift,shimadasage,ANELE CurseLit FootGoal FootYellow kaypLOL,0,1,0,0
253,5/1/2021 17:54,doublelift,mimimihax,Ayo wasnt konkwon a pro before?,0,1,0,0
254,5/1/2021 17:54,doublelift,sandrean1410,kraken slayer on hit chat,0,1,0,0
255,5/1/2021 17:54,doublelift,z_ngo37,"@duladen if u can get vision of her camps, or pinks",0,0.833,0.167,0.25
256,5/1/2021 17:54,doublelift,duladen,@z_ngo37 mmm,0,1,0,0
257,5/1/2021 17:55,doublelift,jakethedoge__,catJAM any catjammers in chat tonight catJAM,0,1,0,0
258,5/1/2021 17:55,doublelift,dizzyfoxiguess,eve is broken if the enemy team never knows where she is,0.398,0.602,0,-0.765
259,5/1/2021 17:55,doublelift,paul_the_iii,"@duladen yeah you can ward her camps, and track her when she's clearing them",0,0.855,0.145,0.296
260,5/1/2021 17:55,doublelift,nightbot,Check Doublelift's Socials! Youtube: youtube.com/c/Doublelift Twitter: twitter.com/Doublelift1 Instagram: instagram.com/yiliangpeng,0,1,0,0
261,5/1/2021 17:55,doublelift,playerquinnsy,Song name??,0,1,0,0
262,5/1/2021 17:55,doublelift,munieru62l,I like this Kindred player,0,0.615,0.385,0.3612
263,5/1/2021 17:55,doublelift,zima211,Is it the song from Oceans 12?,0,1,0,0
264,5/1/2021 17:55,doublelift,lastsonofsd,@jakethedoge__ I see you,0,1,0,0
265,5/1/2021 17:55,doublelift,soonie1212,stakc of what,0,1,0,0
266,5/1/2021 17:55,doublelift,playerquinnsy,Is this Indiana Jones,0,1,0,0
267,5/1/2021 17:55,doublelift,shimadasage,This song makes me want to play a main stage game in Dubai,0,0.748,0.252,0.4019
268,5/1/2021 17:55,doublelift,lolsies1234,evelynn is so disgusting to play against,0.363,0.416,0.221,-0.4024
269,5/1/2021 17:55,doublelift,adaptmfer,@Soonie1212 bloodline,0,1,0,0
270,5/1/2021 17:56,doublelift,soonie1212,@adaptmfer figured thank y,0,0.545,0.455,0.3612
271,5/1/2021 17:56,doublelift,potsu4444,losing to jensen KEKW,0.464,0.536,0,-0.3818
272,5/1/2021 17:56,doublelift,infintt,monkaW,1,0,0,-0.25
273,5/1/2021 17:56,doublelift,ayayako,monkaW,1,0,0,-0.25
274,5/1/2021 17:56,doublelift,lolsies1234,monkaW,1,0,0,-0.25
275,5/1/2021 17:56,doublelift,deepterrornami,single digits,0,1,0,0
276,5/1/2021 17:56,doublelift,adaptmfer,6,0,1,0,0
277,5/1/2021 17:56,doublelift,munieru62l,Monka,1,0,0,-0.25
278,5/1/2021 17:56,doublelift,liquid_fhap,10 up,0,1,0,0
279,5/1/2021 17:56,doublelift,gayjesus_420,NA hitbox,0,1,0,0
